Date,Open,High,Low,Close,Volume
2024-12-02,162.95,168.3797,162.75,166.51,21472442
2024-12-03,164.48,168.27,164.03,168.15,17024434
2024-12-04,173.44,175.39,168.56,170.56,32748246
2024-12-05,170.75,172.3981,169.2,170.47,18489993
2024-12-06,170.1,180.68,169.3301,179.53,27830828
2024-12-09,178.95,180.7933,176.0209,178.94,20886305
2024-12-10,177.81,178.5,169.73,171.81,27762632
2024-12-11,180.01,184.87,176.4296,183.2,41295179
2024-12-12,180.93,182.0,175.99,180.66,46967170
2024-12-13,213.9,228.7,211.11,224.8,121336628
2024-12-16,231.79,251.88,230.81,250.0,111623166
2024-12-17,240.65,242.47,233.8,240.23,70382134
2024-12-18,239.41,239.85,219.22,223.62,53960103
2024-12-19,227.91,228.05,217.58,218.32,40845167
2024-12-20,220.36,230.29,218.91,220.79,131910354
2024-12-23,226.69,233.3994,225.13,232.35,40643778
2024-12-24,240.115,240.228,234.8,239.68,22827188
2024-12-26,240.0,247.28,237.6,245.36,28537540
2024-12-27,245.64,245.78,236.3532,241.75,29282230
2024-12-30,234.695,238.77,231.62,235.58,27316797
2024-12-31,235.88,237.46,231.31,231.84,17927719
2025-01-02,236.155,239.5,230.2425,231.98,31525830
2025-01-03,233.59,236.4893,229.0,232.55,24973192
2025-01-06,236.5,241.75,233.3,236.41,34028377
2025-01-07,239.5,239.5,227.6,228.64,25928606
2025-01-08,229.7,232.47,226.06,229.31,18756487
2025-01-10,227.3,227.83,221.25,224.31,23864005
2025-01-13,219.99,229.26,219.51,225.29,23772091
2025-01-14,226.57,230.26,223.1,224.7,18143124
2025-01-15,228.55,230.34,225.58,228.0,21745616
2025-01-16,235.22,238.6,229.21,229.41,23471871
2025-01-17,237.08,238.1,232.66,237.44,31196642
2025-01-21,241.5,242.75,237.4,240.31,30903186
2025-01-22,246.75,246.99,240.69,240.91,29610501
2025-01-23,238.41,240.4,236.12,240.28,17653942
2025-01-24,244.7,249.59,241.91,244.7,25387825
2025-01-27,213.4,218.43,196.23,202.13,90569376
2025-01-28,208.01,209.95,198.89,207.36,50315987
2025-01-29,208.84,211.45,202.77,206.35,32533735
2025-01-30,218.57,221.96,213.7,215.66,42449478
2025-01-31,219.66,226.8,216.3,221.27,41150975
2025-02-03,215.46,220.9377,213.51,217.73,24507274
2025-02-04,219.35,223.03,215.3,222.43,23768517
2025-02-05,233.94,237.9299,227.5,232.0,29250582
2025-02-06,234.5,234.8,228.56,231.36,21169529
2025-02-07,235.0,235.65,224.11,224.87,22117468
2025-02-10,227.43,235.82,227.12,235.04,23901643
2025-02-11,232.48,237.89,229.9739,235.04,18476200
2025-02-12,230.355,236.48,230.0,236.35,16397336
2025-02-13,236.06,236.95,230.7276,235.8,20962031
2025-02-14,234.53,235.74,228.9,233.04,16988777
2025-02-18,230.1,232.2,224.3001,228.53,26080547
2025-02-19,227.85,229.0653,224.4,228.73,16375487
2025-02-20,228.645,228.98,222.75,226.74,16103996
2025-02-21,225.65,227.75,215.63,218.66,24883556
2025-02-24,218.6,219.48,207.54,207.96,33050425
2025-02-25,207.0,208.6425,200.92,202.54,33100814
2025-02-26,206.91,213.54,206.0,212.94,21368302
