Date,Open,High,Low,Close,Volume
2024-06-13,8.2,8.2,7.95,7.98,841240
2024-06-14,8.0,8.06,7.84,8.02,924622
2024-06-17,8.02,8.27,8.02,8.225,457010
2024-06-18,8.28,8.48,8.28,8.325,603204
2024-06-19,8.325,8.48,8.255,8.45,448555
2024-06-20,8.47,8.58,8.305,8.375,358684
2024-06-21,8.33,8.37,8.215,8.34,825882
2024-06-24,8.22,8.575,8.22,8.52,404918
2024-06-25,8.52,8.99,8.5,8.905,1925770
2024-06-26,8.95,9.115,8.95,9.0,2030966
2024-06-27,9.005,9.38,9.0,9.135,1607980
2024-06-28,9.225,9.43,9.215,9.38,1076083
2024-07-01,9.38,9.52,9.33,9.5,744189
2024-07-02,9.5,9.555,9.22,9.405,640848
2024-07-03,9.405,9.525,9.3,9.335,902047
2024-07-04,9.355,9.375,9.155,9.3,323652
2024-07-05,9.385,9.49,9.305,9.4,669298
2024-07-08,9.325,9.47,9.31,9.435,478283
2024-07-09,9.45,9.5,9.4,9.47,553488
2024-07-10,9.5,9.6,9.43,9.545,348298
2024-07-11,9.57,9.7,9.48,9.665,1147877
2024-07-12,9.65,9.725,9.55,9.64,738067
2024-07-15,9.68,9.73,9.54,9.66,408073
2024-07-16,9.57,9.73,9.2,9.28,1047461
2024-07-17,9.18,9.525,9.16,9.255,1077434
2024-07-18,9.27,9.6,9.265,9.6,685337
2024-07-19,9.515,9.675,9.35,9.665,544987
2024-07-22,9.68,9.815,9.58,9.66,441922
2024-07-23,9.6,9.66,9.05,9.21,966083
2024-07-24,9.21,9.35,9.17,9.215,299071
2024-07-25,9.175,9.38,9.045,9.305,508106
2024-07-26,9.215,9.38,8.77,8.97,1107975
2024-07-29,9.19,9.395,8.895,9.045,965451
2024-07-30,9.12,9.56,8.86,8.9,1456710
2024-07-31,9.1,9.295,8.965,9.06,1024064
2024-08-01,9.085,9.255,8.9,8.9,1058544
2024-08-02,8.88,8.88,8.51,8.56,1022617
2024-08-05,8.18,8.48,7.66,8.295,1650861
2024-08-06,8.38,8.58,7.965,8.1,1666797
2024-08-07,8.2,8.34,8.06,8.06,1116936
2024-08-08,8.1,8.185,7.86,8.12,997252
2024-08-09,8.25,8.415,8.15,8.15,853583
2024-08-12,8.19,8.53,8.19,8.475,575950
2024-08-13,8.585,8.9,8.43,8.515,504644
2024-08-14,8.57,8.69,8.46,8.645,475628
2024-08-16,8.7,9.025,8.655,9.01,976408
2024-08-19,8.85,9.02,8.835,8.925,348512
2024-08-20,9.0,9.0,8.785,8.8,376042
2024-08-21,8.78,8.86,8.755,8.775,213330
2024-08-22,8.84,8.89,8.765,8.86,150779
2024-08-23,8.8,8.955,8.8,8.9,223909
2024-08-26,8.85,8.92,8.55,8.84,442602
2024-08-27,8.83,8.895,8.735,8.89,1214995
2024-08-28,8.815,9.02,8.815,8.92,635091
2024-08-29,8.885,9.105,8.885,9.05,481048
2024-08-30,9.05,9.11,8.985,9.015,624657
2024-09-02,9.03,9.325,8.995,9.27,487535
2024-09-03,9.27,9.27,8.995,9.0,442748
2024-09-04,8.97,9.24,8.88,9.24,615058
2024-09-05,9.135,9.36,9.135,9.3,990464
2024-09-06,9.195,9.195,8.83,8.89,1082056
2024-09-09,8.82,9.06,8.815,9.025,584384
2024-09-10,8.92,9.04,8.79,8.79,877837
2024-09-11,8.82,8.84,8.52,8.565,568858
2024-09-12,8.7,8.915,8.645,8.82,560443
2024-09-13,8.945,9.14,8.8,9.05,458108
2024-09-16,9.07,9.07,8.835,8.935,242801
2024-09-17,8.84,9.07,8.84,9.0,207166
2024-09-18,8.92,9.095,8.885,8.905,260273
2024-09-19,8.91,9.055,8.9,8.965,220928
2024-09-20,8.865,8.955,8.655,8.82,948140
2024-09-23,8.86,8.86,8.595,8.665,170486
2024-09-24,8.715,8.965,8.715,8.87,612500
2024-09-25,8.97,8.97,8.61,8.73,450606
2024-09-26,8.85,8.95,8.78,8.87,387613
2024-09-27,8.87,8.87,8.705,8.77,360727
2024-09-30,8.78,8.865,8.44,8.52,557754
2024-10-01,8.59,8.59,8.23,8.23,857205
2024-10-02,8.24,8.295,8.11,8.12,635457
2024-10-03,8.16,8.225,8.03,8.15,393155
2024-10-04,8.105,8.25,8.07,8.14,363199
2024-10-07,8.14,8.23,7.985,8.105,708570
2024-10-08,8.105,8.35,7.97,8.28,661312
2024-10-09,8.365,8.47,8.15,8.41,536303
2024-10-10,8.45,8.54,8.34,8.43,2202338
2024-10-11,8.46,8.49,8.355,8.38,670897
2024-10-14,8.4,8.45,8.36,8.38,277636
2024-10-15,8.405,8.42,8.235,8.325,602806
2024-10-16,8.355,8.455,8.29,8.41,419364
